"number","title"
"1429","Tye with dapr on .net 6 - DAPR_HTTP_PORT not set DAPR_GRPC_PORT"
"1430","When deploying app to a specific namespace zipkin secret is created in default namespace"
"1431","Dapr extension not considering Azure function apps"
"1438","Watch with solution fails msbuild when involving a project with special character(s)"
"1444","Dashboard Quality-of-Life improvement"
"1449","Cache or specify ProjectMetadata files"
"1460","Merge multiple ingresses with the same name from different includes"
"1475","tye deploy when yaml file specifies images expects to build projects."
"1491","Automatically use container if volumes are mounted on project based service"
"1492","Add ability to use network aliases "
"1500","Specifying Dapr command arguments for individual services throwing an error"
"1504","Defining and Running Multiple Tye ""Apps"""
"1507","Incoming http/2 requests forward to http/1.1 are not transformed"
"1515","Binding Routes missing from tye-schema.json"
"1534","Environment variables are not being parsed properly in the volume mapping configuration."
"1544","Tye deploy doesn't respect namespace when checking kubectl cluster-info"
"1547","Object reference not set to an instance of an object on EventCounters for .NET 7"
"1567","Allow service to be passed as argument for tye run --watch (like --debug)"
"1585","tye ignores ASPNETCORE_ENVIRONMENT?"
"1588","Tag for definening default services, and listing of services"
"1603","Multiple resource paths on dapr 11 - components-path has been deprecated"
"1607","esproj support"
